#TYPE Selected.System.Management.Automation.PSCustomObject
"HotFixID","InstalledOn","Description"
"KB2894856","2017/04/23 9:00:00","Security Update"
"KB2919355","2014/03/18 9:00:00","Update"
"KB2919442","2014/03/18 9:00:00","Update"
"KB2934520","2017/07/23 9:00:00","Update"
"KB2937220","2014/03/18 9:00:00","Update"
"KB2938066","2017/07/22 9:00:00","Update"
"KB2938772","2014/03/18 9:00:00","Update"
"KB2939087","2017/04/23 9:00:00","Update"
"KB2939471","2014/03/18 9:00:00","Update"
"KB2949621","2014/03/18 9:00:00","Hotfix"
"KB2954879","2017/07/22 9:00:00","Update"
"KB2962806","2017/07/23 9:00:00","Update"
"KB2967917","2017/04/23 9:00:00","Update"
"KB2973351","2017/04/23 9:00:00","Security Update"
"KB2977765","2017/04/23 9:00:00","Security Update"
"KB2978041","2017/04/23 9:00:00","Security Update"
"KB2978126","2017/04/23 9:00:00","Security Update"
"KB2989930","2017/07/22 9:00:00","Update"
"KB3000483","2017/04/23 9:00:00","Security Update"
"KB3000850","2017/04/23 9:00:00","Update"
"KB3003057","2017/04/23 9:00:00","Security Update"
"KB3004361","2017/04/23 9:00:00","Security Update"
"KB3004365","2017/04/23 9:00:00","Security Update"
"KB3004545","2017/07/23 9:00:00","Hotfix"
"KB3008242","2017/04/23 9:00:00","Update"
"KB3012702","2017/07/23 9:00:00","Update"
"KB3013172","2017/07/23 9:00:00","Update"
"KB3013410","2017/07/23 9:00:00","Update"
"KB3013769","2017/07/23 9:00:00","Update"
"KB3013791","2017/07/23 9:00:00","Update"
"KB3013816","2017/07/23 9:00:00","Update"
"KB3014442","2017/04/23 9:00:00","Update"
"KB3019978","2017/04/23 9:00:00","Security Update"
"KB3021674","2017/04/23 9:00:00","Security Update"
"KB3022777","2017/04/23 9:00:00","Security Update"
"KB3023222","2017/04/23 9:00:00","Security Update"
"KB3023266","2017/04/23 9:00:00","Security Update"
"KB3024751","2017/07/23 9:00:00","Update"
"KB3024755","2017/07/23 9:00:00","Update"
"KB3027209","2017/07/23 9:00:00","Update"
"KB3029603","2017/07/23 9:00:00","Update"
"KB3030377","2017/04/23 9:00:00","Security Update"
"KB3030947","2017/07/23 9:00:00","Update"
"KB3032663","2017/04/23 9:00:00","Security Update"
"KB3033446","2017/07/23 9:00:00","Update"
"KB3034348","2017/04/23 9:00:00","Update"
"KB3035126","2017/04/23 9:00:00","Security Update"
"KB3036612","2017/07/23 9:00:00","Update"
"KB3037579","2017/04/23 9:00:00","Security Update"
"KB3037924","2017/07/23 9:00:00","Update"
"KB3038002","2017/07/23 9:00:00","Update"
"KB3041857","2017/07/23 9:00:00","Update"
"KB3042058","2017/07/23 9:00:00","Security Update"
"KB3042085","2017/04/23 9:00:00","Update"
"KB3043812","2017/07/23 9:00:00","Update"
